id,name,tvg_name,group,source,source_id,method,score,programmes
ClassicTVDrama.us@SD,Classic TV Drama,,Classic,IPTV-EPG.org US,ClassicTVDrama.pluto,primary-exact-id-base,94,29
ClassicTVFamilies.us@US,Classic TV: Families,,Classic,IPTV-EPG.org US,ClassicTV:Families.pluto,primary-exact-id-base,94,58
Classica.us@SD,Classica (720p),,Music,IPTV-EPG.org US,Classica.pluto,primary-exact-id-base,94,24
CleoTV.us@SD,Cleo TV (720p),,Lifestyle,IPTV-EPG.org US,CleoTV.us,primary-exact-normalized-name,95,323
CMT.us@East,CMT (720p),,Music,EPGShare US2,CMT.HD.us2,fallback-exact-normalized-name,95,126
CMTEqualPlay.us@SD,CMT Equal Play (720p),,Music,IPTV-EPG.org US,CMTEqualPlay.pluto,primary-exact-id-base,94,30
CNBC.us@SD,CNBC (720p),,Business,IPTV-EPG.org US,CNBC.us,primary-exact-normalized-name,95,153
ComedyCentral.us@East,Comedy Central (1080p),,Comedy,EPGShare US2,Comedy.Central.HD.us2,fallback-exact-normalized-name,95,170
ComedyCentralenEspanol.us@SD,Comedy Central en español,,Comedy,IPTV-EPG.org US,ComedyCentralenespañol.pluto,primary-exact-id-base,94,42
ComedyCentralPlutoTV.us@US,Comedy Central Pluto TV,,Comedy,IPTV-EPG.org US,ComedyCentralPlutoTV.pluto,primary-exact-id-base,94,56
ComedyDynamics.us@SD,Comedy Dynamics (1080p),,Comedy,IPTV-EPG.org US,ComedyDynamics.us,primary-exact-normalized-name,95,141
Comet.us@SD,Comet (1080p),,Entertainment,EPGShare US2,Comet.us2,fallback-exact-normalized-name,95,117
Cops.us@SD,Cops (720p),,Series,IPTV-EPG.org US,COPS.pluto,primary-exact-id-base,94,58
CornerstoneTV.us@SD,Cornerstone TV (720p),,Religious,IPTV-EPG.org US,CornerstoneTV.us,primary-exact-id-base,94,287
CourtTV.us@SD,Court TV (1080p),,Documentary,IPTV-EPG.org US,CourtTV.us,primary-exact-normalized-name,95,187
CoziTV.us@SD,Cozi TV (720p),,Entertainment,EPGShare US2,COZI.TV.us2,fallback-exact-normalized-name,95,164
Create.us@SD,Create (1080p),,Education,EPGShare US2,Create.us2,fallback-exact-normalized-name,95,181
CrimenesImperfectos.us@SD,Crímenes imperfectos,,Undefined,IPTV-EPG.org US,Crímenesimperfectos.pluto,primary-exact-id-base,94,57
Crunchyroll.us@SD,Crunchyroll (720p),,Animation,IPTV-EPG.org US,Crunchyroll.us,primary-exact-normalized-name,95,322
CSIenespanol.us@SD,CSI en Español,,Undefined,IPTV-EPG.org US,CSIenEspañol.pluto,primary-exact-id-base,94,30
CSIMiami.us@SD,CSI: Miami,,Series,IPTV-EPG.org US,CSI:Miami.pluto,primary-exact-id-base,94,30
CSIMiamienespanol.us@SD,CSI: Miami en español,,Entertainment,IPTV-EPG.org US,CSI:Miamienespañol.pluto,primary-exact-id-base,94,30
CSINY.us@SD,CSI: NY,,Series,IPTV-EPG.org US,CSI:NY.pluto,primary-exact-id-base,94,30
CSINYenespanol.us@SD,CSI: NY en español,,Entertainment,IPTV-EPG.org US,CSI:NYenespañol.pluto,primary-exact-id-base,94,30
