id,name,tvg_name,group,reason
WBFF451.us@HD,FOX 45 Baltimore MD (WBFF) (1080p),,Undefined,no-safe-match
FoxNewsRadio.us@SD,Fox News Radio (720p),,News,no-safe-match
FreebieTV.us@SD,Freebie TV (720p) [Not 24/7],,Entertainment,no-safe-match
CMAC1.us@SD,Fresno CMAC 1 Public Channel (720p),,General,no-safe-match
CMAC2.us@SD,Fresno CMAC 2 Education Channel (720p),,Education,no-safe-match
CMAC3.us@SD,Fresno CMAC 3 Government Channel (720p),,Legislative,no-safe-match
Community12TV.us@SD,Gainesville Community 12TV (Gainesville FL) (720p),,Legislative,no-safe-match
GalvestonCountyTV.us@SD,Galveston County TV (720p) [Not 24/7],,Legislative,no-safe-match
GalxyTV.us@SD,Galxy TV (720p),,Entertainment,no-safe-match
GanjeHozourTV.us@SD,Ganj e Hozour TV (1080p),,General,no-safe-match
GlobalBuddhistNetwork.us@SD,GBN Global Buddhist Network (1080p),,Religious,no-safe-match
KBPXLD465.us@SD,Geb Tv (KBPX LD5) (1080p),,Culture;News,no-safe-match
GiggleMug.us@SD,Giggle Mug (576p),,Kids,no-safe-match
GillettePublicAccessTelevisionChannel189.us@SD,Gillette Public Access Television Channel 189,,Education,no-safe-match
GillettePublicAccessTelevisionChannel190.us@SD,Gillette Public Access Television Channel 190,,General,no-safe-match
GillettePublicAccessTelevisionChannel192.us@SD,Gillette Public Access Television Channel 192,,Legislative,no-safe-match
CMAPChannel17.us@SD,Gilroy CMAP TV Channel 17 (720p),,Legislative,no-safe-match
CMAPChannel18.us@SD,Gilroy CMAP TV Channel 18 (720p),,General,no-safe-match
CMAPChannel19.us@SD,Gilroy CMAP TV Channel 19 (720p),,Undefined,no-safe-match
CMAPChannel20.us@SD,Gilroy CMAP TV Channel 20 (720p),,General,no-safe-match
GirlfriendsFilms.us@SD,Girlfriends,,Movies,no-safe-match
Glendale11AZ.us@SD,Glendale 11 AZ (360p),,Legislative,no-safe-match
GlendaleTV.us@SD,Glendale TV (720p) [Geo-blocked],,Legislative,no-safe-match
GCNAmerica.us@SD,Global Christian Network America (GCN) (720p),,Religious,no-safe-match
GlobalFashionChannel.us@SD,Global Fashion Channel (1080p),,Lifestyle,no-safe-match
GlobalWorldTV.us@SD,GlobalWorldTV (720p),,Entertainment,no-safe-match
GMTV.us@SD,GMTV (1080p),,Music,no-safe-match
KPCBDT171.us@SD,God's Learning Channel (480p),,Religious,no-safe-match
GCOtv.us@SD,Golden Community Television (GCO.tv) (Golden CO) (1080p),,General,no-safe-match
GoodLife45.us@SD,GoodLife 45 (720p) [Not 24/7],,Religious,no-safe-match
GBNTV.us@SD,Gospel Broadcasting Network (GBN) (1080p),,Religious,no-safe-match
GospelTruthTV.us@SD,Gospel Truth TV (1080p),,Religious,no-safe-match
GreensboroTV.us@SD,Greensboro TV (Greensboro NC) (720p),,Legislative,no-safe-match
GrjngoWesternMovies.de@SD,Grjngo Western Movies (720p),,Movies,no-safe-match
GuangdongTVAmerica.us@SD,Guangdong TV America,,General,no-safe-match
GunAzTV.us@SD,GunAz TV,,General,no-safe-match
HKTV.us@SD,Haddam Killingworth High School TV (HKTV) (1080p) [Geo-blocked],,Education,no-safe-match
HarPalGeo.pk@SD,HarPal Geo (360p),,Culture,no-safe-match
HarvestUSA.in@SD,Harvest USA (576p),,Religious,no-safe-match
HCTVEducationalAccessChannel.us@SD,HCTV Educational Access Channel,,Education,no-safe-match
HCTVGovernmentChannel.us@SD,HCTV Government Channel,,Legislative,no-safe-match
HCTVPublicAccessChannel.us@SD,HCTV Public Access Channel,,General,no-safe-match
Heartland.us@Eastern,Heartland (720p),,Entertainment,matched-but-zero-programmes
HighVisionTV.us@SD,High Vision (1080p) [Not 24/7],,Music,no-safe-match
HillsboroughTV.us@SD,Hillsborough County TV HTV (Hillsborough County FL) (360p),,Legislative,no-safe-match
HisGloryTV.us@SD,His Glory TV (1080p),,General,no-safe-match
HMIPROMZNEWS.us@SD,HMI PROMZ NEWS (720p),,Music,no-safe-match
HmongStarTV.us@SD,Hmong Star TV (720p) [Not 24/7],,Culture,no-safe-match
HmongTVNetwork.us@SD,Hmong TV Network (720p),,Culture,no-safe-match
Hope4LifeTV.us@SD,Hope4Life TV (720p),,Religious,no-safe-match
HopeChannelInterAmerica.us@SD,Hope Channel Inter-America,,Religious,no-safe-match
HopeChannelInterAmericaEnglish.us@SD,Hope Channel Inter-America English (1080p),,Religious,no-safe-match
HopeChannelInternational.us@SD,Hope Channel International (1080p),,Religious,no-safe-match
HopeChannelNorthAmerica.us@SD,Hope Channel North America (1080p),,Religious,no-safe-match
HSN.us@East,HSN (720p),,Shop,matched-but-zero-programmes
HTV1HoustonTelevision.us@SD,HTV 1 Houston Television (720p),,Legislative,no-safe-match
HTV2HoustonTelevision.us@SD,HTV 2 Houston Television (720p),,Legislative,no-safe-match
HumorMill.us@SD,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Comedy"",Humor Mill (1080p)",,Comedy,no-safe-match
HBTV.us@SD,Huntington Beach TV Channel 3 (720p),,General,no-safe-match
ImanTV.us@SD,Iman TV (480p),,Religious,no-safe-match
IntheKitchen.us@SD,In the kitchen (720p),,Cooking;Shop,no-safe-match
INWILD.nl@SD,INWILD (1080p),,Documentary,no-safe-match
ItIsWrittenTV.us@SD,It Is Written TV (1080p),,Religious,no-safe-match
ItsSupernaturalNetwork.us@SD,It's Supernatural! Network (1080p),,Religious,no-safe-match
G10TV.us@SD,Jacksonville Onslow Government Television (G10TV) (Jacksonville NC) (1080p),,Legislative,no-safe-match
JusHindi.us@SD,Jus Hindi (1080p),,Culture,no-safe-match
JusOne.us@SD,Jus One (1080p),,Culture,no-safe-match
